company_name,website,sector,contact_name,email,linkedin,location,employee_count,source,ai_score,ai_reason,tag,phone,google_rating,place_id,search_town,category,enrichment_source,enrichment_status,ai_enriched,email_guessed,contact_verified,generic_email,contact_names,personal_email_guesses,contact_titles,multiple_contacts,principal_name,principal_email_guess,facebook_url,contact_email,team_email_guesses,email_type,name_review_needed,missing_email,website_verified,data_score,enrichment_attempts,confidence_score,refinement_notes,contact_source,last_enriched_date,mailshot_category,missing_name_final,data_quality
Durham House Chiropractic Clinic Farnham,http://www.durhamhousechiropractic-farnham.co.uk/,Chiropractic,,fleet@durhamhousechiropractic.co.uk,,"30 East St, Farnham GU9 7SW, UK",,,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,01252 725669,4.9/5 (107 reviews),,,unit8,website,missing_name,,false,,info@durhamhousechiropractic-farnham.co.uk,Durham House; Opening Hours,opening.hours@durhamhousechiropractic-farnham.co.uk; o.hours@durhamhousechiropractic-farnham.co.uk; opening@durhamhousechiropractic-farnham.co.uk; hours@durhamhousechiropractic-farnham.co.uk; opening_hours@durhamhousechiropractic-farnham.co.uk; openinghours@durhamhousechiropractic-farnham.co.uk; openingh@durhamhousechiropractic-farnham.co.uk; oh@durhamhousechiropractic-farnham.co.uk,; ,TRUE,,,,,,both,,,,,1,2,rejected_invalid_name:Durham House,,2026-02-10,priority,,
Pro-Physio Health,http://www.prophysiohealth.co.uk/,Physiotherapy,,,,"Fairlands, Guildford GU3 3NA, UK",,,9,"Physiotherapy requires a clinical space for client treatment, making it highly suitable.",clinic-target,01483 220207,5/5 (4 reviews),,,unit8,website,incomplete,,,false,info@prophysiohealth.co.uk,Saira MirzaSenior Physiotherapist,saira.physiotherapist@prophysiohealth.co.uk; s.physiotherapist@prophysiohealth.co.uk; sairap@prophysiohealth.co.uk; sp@prophysiohealth.co.uk; physiotherapist@prophysiohealth.co.uk; saira@prophysiohealth.co.uk; saira_physiotherapist@prophysiohealth.co.uk; sairaphysiotherapist@prophysiohealth.co.uk,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Saira MirzaSenior Physiotherapist; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
GW Sports Therapy,https://www.gwsportstherapy.co.uk/,Physiotherapy,,,https://www.linkedin.com/in/gemma-ware-662a8315/,"Paris Parklands, Guildford GU2 9JX, UK",,,6,Currently home-based looking to upgrade to a professional space for client-facing services.,wellness,01483 400207,5/5 (20 reviews),,,unit8,companies_house,incomplete,,,false,info@gwsportstherapy.co.uk,,elizabeth.park@gwsportstherapy.co.uk | e.park@gwsportstherapy.co.uk | elizabeth@gwsportstherapy.co.uk | park@gwsportstherapy.co.uk | elizabeth_park@gwsportstherapy.co.uk | elizabethpark@gwsportstherapy.co.uk | elizabethp@gwsportstherapy.co.uk | ep@gwsportstherapy.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Elizabeth Park; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
The Guildford Chiropractor,https://theguildfordchiropractor.com/,Chiropractic,,,,"4 Burden Wy., Guildford GU2 9PB, UK",,,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,07775 294369,,,,unit8,not_found,incomplete,,,,info@theguildfordchiropractor.com,,,,,,,,,,,,,,,,,,,,,,
www.PrivateGpCare.com,http://www.privategpcare.com/,Aesthetics/Beauty,,privategpcare@outlook.com,https://il.linkedin.com/company/wix-com?trk=public_jobs_topcard_logo,"Chertsey St, Guildford GU1 4HL, UK",,,9,Private health clinic suitable for client-facing health services,clinic-target,07404 012793,5/5 (22 reviews),,,unit8,website,missing_name,,false,,info@privategpcare.com,Private Gp Care . Com; Lip Filler; Lip Enhancement; Facial Aesthetics,private.com@privategpcare.com; p.com@privategpcare.com; private@privategpcare.com; com@privategpcare.com; private_com@privategpcare.com; privatecom@privategpcare.com; privatec@privategpcare.com; pc@privategpcare.com,; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Thérapie Clinic - Guildford,https://therapieclinic.com/locations/guildford?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=guildford,Aesthetics/Beauty,,guildford@therapieclinic.com,,"228 High St, Guildford GU1 3JD, UK",,,8,Suitable for client-facing health/wellness practices,wellness,01483 940088,4.8/5 (649 reviews),,,unit8,website,missing_name,,false,,info@therapieclinic.com,High Street; Dr. Tom Cryan; Dr. Nutchanun Poolworalu; Dr. Yvonne Ndefo; Dr. Zara Katchi; Doctor Reviews,guildford@therapieclinic.com; high.street@therapieclinic.com; h.street@therapieclinic.com; high@therapieclinic.com; street@therapieclinic.com; high_street@therapieclinic.com; highstreet@therapieclinic.com; highs@therapieclinic.com; hs@therapieclinic.com,; Doctor; Doctor; Doctor; Doctor; ,TRUE,,,,,,,,,,,,,,,,,,
Austen Road Surgery,https://www.austenroadsurgery.nhs.uk/,General Wellness,,austenroad.surgery@nhs.net,,"1 Austen Rd, Guildford GU1 3NW, UK",,,2,"NHS clinic, not suitable for small professional space",clinic-target,01483 564578,3.6/5 (49 reviews),,,unit8,website,missing_name,,false,,info@austenroadsurgery.nhs.uk,Austen Road; Data Choices,austen.road@austenroadsurgery.nhs.uk; a.road@austenroadsurgery.nhs.uk; austen@austenroadsurgery.nhs.uk; road@austenroadsurgery.nhs.uk; austen_road@austenroadsurgery.nhs.uk; austenroad@austenroadsurgery.nhs.uk; austenr@austenroadsurgery.nhs.uk; ar@austenroadsurgery.nhs.uk,; ,TRUE,,,,,,,,,,,,,,,,,,
Dapdune House Surgery,https://dapdune.nhs.uk/,General Wellness,,,,"Wharf Rd, Guildford GU1 4RP, UK",,,1,NHS public sector clinic not suitable for private professional space,clinic-target,01483 400200,3.1/5 (108 reviews),,,unit8,not_found,incomplete,,,,info@dapdune.nhs.uk,Dapdune House,dapdune.house@dapdune.nhs.uk; d.house@dapdune.nhs.uk; dapdune@dapdune.nhs.uk; house@dapdune.nhs.uk; dapdune_house@dapdune.nhs.uk; dapdunehouse@dapdune.nhs.uk; dapduneh@dapdune.nhs.uk; dh@dapdune.nhs.uk,,FALSE,,,,,,,,,,,,,,,,,,
The Student Health Centre,https://www.guildowns.nhs.uk/our-surgeries/the-student-health-centre/,NHS clinic,,,,"Stag Hill, Guildford GU2 7JN, UK",,,1,"NHS public sector clinic, not suitable for private practice space",clinic-target,01483 409309,2.2/5 (10 reviews),,,unit8,not_found,incomplete,,,,info@guildowns.nhs.uk,,,,,,,,,,,,,,,,,,,,,,
Laser Clinics UK - Guildford,https://www.laserclinics.co.uk/skin-care-clinics/guildford/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_content=Guildford&utm_term=plcid_17242721197944776115,wellness,,,,"121 High St, Guildford GU1 3DP, UK",,,6,Wellness-focused but may require more space for equipment and treatments,wellness,01483 802455,4.2/5 (101 reviews),,,unit8,not_found,incomplete,,,,info@laserclinics.co.uk,,,,,,,,,,,,,,,,,,,,,,
Guildowns University Medical Centre,http://guildowns.nhs.uk/,General Wellness,,,,"University of Surrey, Stag Hill",,,1,"NHS or public sector clinic, not suitable for a small professional space",clinic-target,01483 409309,2.1/5 (16 reviews),,,unit8,not_found,incomplete,,,,info@guildowns.nhs.uk,Guildowns Group; Opening Times; Catchment Area; Proxy Access,guildowns.group@guildowns.nhs.uk; g.group@guildowns.nhs.uk; guildowns@guildowns.nhs.uk; group@guildowns.nhs.uk; guildowns_group@guildowns.nhs.uk; guildownsgroup@guildowns.nhs.uk; guildownsg@guildowns.nhs.uk; gg@guildowns.nhs.uk,; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
